URL,Version,Status,OIDs,Name,Title,Description,Used
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/activity-cs,0.1.0,draft,,ActivityCS,Activity at time of incident (example),"",
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/cause-of-crash-cs,0.1.0,draft,,CauseOfCrashCS,Cause of Road Crash,"",
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/collision-type-cs,0.1.0,draft,,CollisionTypeCS,Collision Type (example),"",
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/external-cause-cs,0.1.0,draft,,ExternalCauseCS,External Cause CodeSystem (example),"",
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/injury-nature-cs,0.1.0,draft,,InjuryNatureCS,Nature of Injury (example),"",
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/mode-of-transport-cs,0.1.0,draft,,ModeOfTransportCS,Mode of Transport (example),"",
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/outcome-cs,0.1.0,draft,,OutcomeCS,Outcome (example),"",
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/party-at-fault-cs,0.1.0,draft,,PartyAtFaultCS,Party at Fault,"",
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/place-occ-cs,0.1.0,draft,,PlaceOccCS,Place of Occurrence (example),"",
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/priority-cs,0.1.0,draft,,PriorityCS,Triage Priority (example),"",
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/report-form-received-cs,0.1.0,draft,,ReportFormReceivedCS,Report Form Received,"",
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/road-network-file-type-cs,0.1.0,draft,,RoadNetworkFileTypeCS,Road Network File Type,"Allowed file types for detailed road network shapefiles or GIS data.",
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/rs-task-status-cs,0.1.0,draft,,RSTaskStatusCS,Road Safety Task Status Codes,"Custom codes for Task.status specific to Road Safety reporting.",
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/vehicle-condition-cs,0.1.0,draft,,VehicleConditionCS,Vehicle Condition,"",
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/vehicle-types,0.1.0,draft,,VehicleTypeCS,Vehicle Types,"A code system for different types of vehicles used in road safety encounters.",
