URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/task-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.791",TaskStatus,TaskStatus,"The current status of the task.","ValueSet/task-status"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/rs-hospital-category,ValueSet/intervention,ValueSet/first-aid,ValueSet/rs-procedure,ValueSet/coordination,ValueSet/psychosocial-procedure"
http://terminology.hl7.org/CodeSystem/location-physical-type,2.0.1,active,"2.16.840.1.113883.4.642.1.1108",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.  This includes several 'non physical' codes which are still considered a location.","ValueSet/location-physical-type"
http://terminology.hl7.org/CodeSystem/v3-RoleCode,3.0.0,active,"2.16.840.1.113883.5.111",RoleCode,RoleCode,"A set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.","ValueSet/v3-ServiceDeliveryLocationRoleType"
http://unitsofmeasure.org,3.0.1,active,"2.16.840.1.113883.6.8",UCUM,Unified Code for Units of Measure (UCUM),"The Unified Code for Units of Measure (UCUM) is a code system intended to include all units of measures being contemporarily used in international science, engineering, and business. The purpose is to facilitate unambiguous electronic communication of quantities together with their units. The focus is on electronic communication, as opposed to communication between humans. A typical application of The Unified Code for Units of Measure are electronic data interchange (EDI) protocols, but there is nothing that prevents it from being used in other types of machine communication.","ValueSet/age-units-vs"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/activity-cs,0.1.0,draft,,ActivityCS,Activity at time of incident (example),"","ValueSet/activity-vs"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/cause-of-crash-cs,0.1.0,draft,,CauseOfCrashCS,Cause of Road Crash,"","ValueSet/cause-of-crash-vs"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/collision-type-cs,0.1.0,draft,,CollisionTypeCS,Collision Type (example),"","ValueSet/collision-type-vs"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/external-cause-cs,0.1.0,draft,,ExternalCauseCS,External Cause CodeSystem (example),"","ValueSet/external-cause-vs"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/injury-nature-cs,0.1.0,draft,,InjuryNatureCS,Nature of Injury (example),"","ValueSet/injury-nature-vs"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/mode-of-transport-cs,0.1.0,draft,,ModeOfTransportCS,Mode of Transport (example),"","ValueSet/mode-of-transport-vs"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/outcome-cs,0.1.0,draft,,OutcomeCS,Outcome (example),"","ValueSet/outcome-vs"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/party-at-fault-cs,0.1.0,draft,,PartyAtFaultCS,Party at Fault,"","ValueSet/party-at-fault-vs"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/place-occ-cs,0.1.0,draft,,PlaceOccCS,Place of Occurrence (example),"","ValueSet/place-occ-vs"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/priority-cs,0.1.0,draft,,PriorityCS,Triage Priority (example),"","ValueSet/priority-vs"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/report-form-received-cs,0.1.0,draft,,ReportFormReceivedCS,Report Form Received,"","ValueSet/report-form-received-vs"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/road-network-file-type-cs,0.1.0,draft,,RoadNetworkFileTypeCS,Road Network File Type,"Allowed file types for detailed road network shapefiles or GIS data.","ValueSet/road-network-file-type-vs"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/rs-task-status-cs,0.1.0,draft,,RSTaskStatusCS,Road Safety Task Status Codes,"Custom codes for Task.status specific to Road Safety reporting.","ValueSet/rs-task-status"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/vehicle-condition-cs,0.1.0,draft,,VehicleConditionCS,Vehicle Condition,"","ValueSet/vehicle-condition-vs"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/CodeSystem/vehicle-types,0.1.0,draft,,VehicleTypeCS,Vehicle Types,"A code system for different types of vehicles used in road safety encounters.","ValueSet/vs-rs-vehicle-type"
