L2_ID,FORM,SECTION,DATA ELEMENT,FORM DATA TYPE,FINAL CODESYSTEM,FINAL CODESYSTEM CODE,FINAL CODESYSTEM DESCRIPTION
1,Run Report Form,,Date Received,Date,LOINC,30976-5,Date received Form
2,Run Report Form,,TIme Received,Time,SNOMED CT,405796007,Time of call for help (observable entity)
3,Run Report Form,,Time Enroute,Time,LOINC,,
4,Run Report Form,,Time On Scene,Time,SNOMED CT,405798008,Time of arrival of emergency services (observable entity)
5,Run Report Form,,Time Departed,Time,LOINC,69475-2,Responding unit left the scene with a patient [Date and time] Vehicle
6,Run Report Form,,Time of Hospital Arrival,Time,SNOMED CT,405799000,Time of arrival at hospital (observable entity)
7,Run Report Form,,Time of Emergency Station Arrival,Time,LOINC,11288-8,Arrival time documented
8,Run Report Form,,Reported Complaint,String,SNOMED CT,1269489004,Chief complaint (observable entity)
9.1,Run Report Form,,Incident Location - House No. and Street,String,SNOMED CT,398099009,Street address (observable entity)
9.2,Run Report Form,,Incident Location - Barangay,CodableConcept,FHIR Element,Location.address.[PHCoreAddress] inherit decisions from above ↑,N/A
9.3,Run Report Form,,Incident Location - City/Municipality,CodableConcept,FHIR Element,Location.address.[PHCoreAddress] inherit decisions from above ↑,N/A
9.4,Run Report Form,,Incident Location - Province,CodableConcept,FHIR Element,Location.address.[PHCoreAddress] inherit decisions from above ↑,N/A
9.5,Run Report Form,,Incident Location - Region,CodableConcept,FHIR Element,Location.address.[PHCoreAddress] inherit decisions from above ↑,N/A
10,Run Report Form,,Call Source,String,SNOMED CT,397663001,Referral source (finding)
11.1,Run Report Form,,Patient Name - Last,String,SNOMED CT,184096005,Patient surname (observable entity)
11.2,Run Report Form,,Patient Name - First,String,SNOMED CT,184095009,"Patient forename (observable entity)
"
11.3,Run Report Form,,Patient Name - Middle,String,SNOMED CT,405622006,Patient middle name (observable entity)
12,Run Report Form,,Age,Integer/Decimal,SNOMED CT,397669002,Age (qualifier value)
13,Run Report Form,,Sex,CodableConcept,SNOMED CT,184100006,Patient sex (observable entity)
14.1,Run Report Form,,Address - House No. and Street,String,FHIR Element,Patient.address,N/A
14.2,Run Report Form,,Address - Barangay,CodableConcept,FHIR Element,Patient.address,N/A
14.3,Run Report Form,,Address - City/Municipality,CodableConcept,FHIR Element,Patient.address,N/A
14.4,Run Report Form,,Address - Province,CodableConcept,FHIR Element,Patient.address,N/A
14.5,Run Report Form,,Address - Region,CodableConcept,FHIR Element,Patient.address,N/A
15,Run Report Form,,Tel. No.,String,SNOMED CT,734005006,Telephone number (property) (qualifier value)
16,Run Report Form,,Medical History,String,SNOMED CT,417662000,History of clinical finding in subject (situation)
17,Run Report Form,,Current Medication,String,SNOMED CT,5.13881E+14,Current medication as reported by patient (observable entity)
18,Run Report Form,,Known Allergies,String,SNOMED CT,609328004,Allergic disposition (finding)
19,Run Report Form,Vital Signs,Vital Signs - Time,Time,FHIR Element,Observation.effectiveDateTime,N/A
20,Run Report Form,Vital Signs,Respiratory Rate,Integer,SNOMED CT,86290005,Respiratory rate (observable entity)
