WORKSHOP ID 🔒,Data Element🔒 ,Source 🔒 ,Form type 🔒 ,Requirement Level🔒 ,[FINAL] FHIR Resource,[FINAL] FHIR Element,Note,Flags 🔒,[FINAL] Cardinality,[FINAL] FHIR Data Type,L2 Context / Remarks 🔒,Definition,Mapping Comments / Notes
1,Medical History,Run Report Form,String,Must Support,Condition,Condition.code[CodableConcept.text],CodableConcept.Text,MUST SUPPORT,0..*,CodeableConcept,"Must support for facility level interoperability, but retain as optional for national level reporting/indicator",,
2,Current Medication,Run Report Form,String,Must Support,MedicationStatement,MedicationStatement.medication.medicationCodeableConcept[CodeableConcept.text],,MUST SUPPORT,0..*,CodeableConcept,"Must support for facility level interoperability, but retain as optional for national level reporting/indicator",,
3,Known Allergies,Run Report Form,String,Must Support,AllergyIntolerance,AllergyIntolerance.code[CodeableConcept.text],,MUST SUPPORT,0..*,CodeableConcept,"Must support for facility level interoperability, but retain as optional for national level reporting/indicator",,
4,Report form received,Dot-vote Priorities,Boolean,Optional,Task,Task.status,"Resource debate: Task vs DocumentReference

The act of filling up the document, or received to better capture if the information has been transmitted
ex. Received

Note of the valueset required",,1..1,code,,,
5,Report form received: digital or physical form,Dot-vote Priorities,CodableConcept,Optional,DocumentReference,DocumentReference.content.format,"Add to valueset Digital, Physical",,0..*,Coding,,,
6,Cost of care,Dot-vote Priorities,Money,Optional,Claim,Claim.total,Claim total - because the category and definition is not fully defined from Dot-vote. claim total is more non-specific of the business process in mind of the stakeholders,,0..1,Money,,,
7,Facility profile (level of facility etc.),Not from Source,Not from Source,Removed,,,,,,CodeableConcept,"Suggested to be harmonized with #11 (Name of Reporting Health Facility) - if they know the name of the HF, they can already determine the facility profile (for removal)",,
8,Profession,Dot-vote Priorities,String,Optional,Patient,Patient.extension:occupation,"Profession is a social history
In https://build.fhir.org/resourceguide.html - social history is an Observation resource

However in other IGs - Occupation is a separate fhir resource and in NHDR it is a separate fhir resource

https://build.fhir.org/ig/UP-Manila-SILab/PhilHealth-NHDR-IG-Review/branches/main/StructureDefinition-Occupation.html

Following NHDR 
https://build.fhir.org/ig/UP-Manila-SILab/PhilHealth-NHDR-IG-Review/StructureDefinition-Occupation.html
Use the extension format to preserve history of occupation for later use",,0..*,CodeableConcept,Clarified that this pertains to the victim's profession,,
9,Duration of delay,Dot-vote Priorities,Time,Optional,Task,Task.executionPeriod,"Definition:
Duration of Delay - Dot Vote
- Start documenting 
Duration of Process via Task",,0..1,Quantity (Duration),,,
10,Sources of delays,Dot-vote Priorities,String,Must Support,Task,Task.note[Annotation.text],"Definition:
Duration of Delay - Dot Vote
- Start documenting 
Duration of Process via Task",MUST SUPPORT,0..*,Annotation,,,
