WORKSHOP ID 🔒,Data Element🔒,Source 🔒,Requirement Level🔒
1,Medical History,Run Report Form,Must Support
2,Current Medication,Run Report Form,Must Support
3,Known Allergies,Run Report Form,Must Support
10,Sources of delays,Dot-vote Priorities,Must Support
11,Name of Reporting Health Facility,ONEISS,Mandatory
12,Hospital Patient ID No.,ONEISS,Must Support
13,Hospital Registry No.,ONEISS,Must Support
14,Hospital Case No.,ONEISS,Must Support
15,Type of Patient,ONEISS,Mandatory
16,Date of Consultation,ONEISS,Mandatory
17,Time of Consultation,ONEISS,Mandatory
41,External Cause/s of Injury/ies: Transport /Vehicular Accident,ONEISS,Mandatory
44,"FOR TRANSPORT/VEHICULAR ACCIDENT ONLY (Land, Water, Air)",ONEISS,Must Support
48,Initial Impression,ONEISS,Must Support
49,ICD-10 Code/s: Nature of Injury,ONEISS,Must Support
50,ICD-10 Code/s: External cause of Injury:,ONEISS,Must Support
51,Disposition,ONEISS,Must Support
52,"Disposition - Transferred to another facility/hospital, specify",ONEISS,Must Support
53,Outcome,ONEISS,Must Support
54,Complete Final Diagnosis,ONEISS,Must Support
55,Disposition,ONEISS,Must Support
56,"Disposition - Others, specify",ONEISS,Must Support
57,"Disposition - Transferred to another facility/hospital, specify",ONEISS,Must Support
58,Outcome,ONEISS,Must Support
59,ICD-10 Code/s: Nature of Injury,ONEISS,Must Support
60,ICD-10 Code/s: External cause of Injury,ONEISS,Must Support
62,Date Received,Run Report Form,Must Support
63,Time Received,Run Report Form,Must Support
64,Time Enroute,Run Report Form,Must Support
65,Time On Scene,Run Report Form,Must Support
66,Time Departed,Run Report Form,Must Support
67,Time of Hospital Arrival,Run Report Form,Must Support
68,Time of Emergency Station Arrival,Run Report Form,Must Support
69,Vital Signs - Time,Run Report Form,Must Support
70,Respiratory Rate,Run Report Form,Must Support
73,Pulse Rate,Run Report Form,Must Support
76,Blood Pressure - Systolic,Run Report Form,Must Support
77,Blood Pressure - Diastolic,Run Report Form,Must Support
78,Temperature,Run Report Form,Must Support
79,Level of Consciousness,Run Report Form,Must Support
80,Pupils,Run Report Form,Must Support
81,Cyanosis,Run Report Form,Must Support
82,Add Vital Signs?,Run Report Form,Must Support
83,Eyes,Run Report Form,Must Support
84,Verbal,Run Report Form,Must Support
85,Motor,Run Report Form,Must Support
86,Score,Run Report Form,Must Support
87,Front,Run Report Form,Must Support
88,Back,Run Report Form,Must Support
89,Problem,Run Report Form,Must Support
90,Intervention,Run Report Form,Must Support
103,Received By,Run Report Form,Must Support
104,Medical Facility,Run Report Form,Must Support
108,Condition of Patients,Dot-vote Priorities,Must Support
112,Incident No.,Dot-vote Priorities,Mandatory
113,Was Transpo Coordinated with Receiving Hospital?,Dot-vote Priorities,Must Support
115,Cause of Road Crash Incident,Dot-vote Priorities,Must Support
118,Mode of transport to the Hospital/Facility,ONEISS,Must Support
119,"Mode of transport to the Hospital/Facility - Others, specify",ONEISS,Must Support
120,Patient Name - Last,Run Report Form,Must Support
121,Patient Name - First,Run Report Form,Must Support
122,Patient Name - Middle,Run Report Form,Must Support
123,Age,Run Report Form,Must Support
124,Sex,Run Report Form,Must Support
126,Address - Barangay,Run Report Form,Must Support
127,Address - City/Municipality,Run Report Form,Must Support
128,Address - Province,Run Report Form,Must Support
129,Address - Region,Run Report Form,Must Support
131,PhilSys ID No.,Workshop Discussion,Must Support
132,Registry No.,ONEISS,Must Support
133,Birth Date,ONEISS,Must Support
148,PhilHealth #,ONEISS,Must Support
149,Reported Complaint,Run Report Form,Must Support
150,Incident Location - House No. and Street,Run Report Form,Must Support
151,Incident Location - Barangay,Run Report Form,Must Support
152,Incident Location - City/Municipality,Run Report Form,Must Support
153,Incident Location - Province,Run Report Form,Must Support
154,Incident Location - Region,Run Report Form,Must Support
158,Date of Injury,ONEISS,Must Support
159,Time of Injury,ONEISS,Must Support
164,Vehicles Involved: Patient's Vehicle,ONEISS,Must Support
166,Other Vehicle/Object Involved (for COLLISION accident ONLY),ONEISS,Must Support
168,Position of Patient,ONEISS,Must Support
169,Position of Patient - Others,ONEISS,Must Support
176,Nature of Injury/ies: Multiple Injury/ies?,ONEISS,Must Support
177,Nature of Injury/ies: Specific Injury/ies - Abrasion,ONEISS,Must Support
180,Nature of Injury/ies: Specific Injury/ies - Avulsion,ONEISS,Must Support
183,Nature of Injury/ies: Specific Injury/ies - Burn,ONEISS,Must Support
196,Nature of Injury/ies: Specific Injury/ies - Concussion,ONEISS,Must Support
199,Nature of Injury/ies: Specific Injury/ies - Contusion,ONEISS,Must Support
202,Nature of Injury/ies: Specific Injury/ies - Fracture,ONEISS,Must Support
209,"Nature of Injury/ies: Specific Injury/ies - Open Wound
ex. hacking, gunshot, stabbing, animal (dog, cat, rat, snake, etc) bites, human bites, insect bites, punctured wound laceration, etc",ONEISS,Must Support
212,Nature of Injury/ies: Specific Injury/ies - Traumatic Amputation,ONEISS,Must Support
215,Nature of Injury/ies: Specific Injury/ies - Others,ONEISS,Must Support
218,Collision type,Dot-vote Priorities,Must Support
221,Party at fault,Dot-vote Priorities,Must Support
224,Documentation of traffic incident management,Dot-vote Priorities,Must Support
227,"CCTV video, reconstruction of what happened",Dot-vote Priorities,Must Support
230,Other risk factors at the time of the incident,ONEISS,Must Support
231,"Other risk factors at the time of the incident - Others
(e.g. suspected under the influence of substance used)",ONEISS,Must Support
232,Safety,ONEISS,Must Support
233,Safety - Others,ONEISS,Must Support
